toxic,nontoxic,bart,custom_transformer,bart_rouge1,bart_rouge2,bart_rougeL,bart_rougeLsum,bart_meteor,bart_bleu,bart_wer,custom_transformer_rouge1,custom_transformer_rouge2,custom_transformer_rougeL,custom_transformer_rougeLsum,custom_transformer_meteor,custom_transformer_bleu,custom_transformer_wer,toxic_toxicity,nontoxic_toxicity,bart_toxicity,custom_transformer_toxicity
You're so fucking sensitive.,you're really sensitive.,you're so sensitive.,you 're so both.,0.75,0.333,0.75,0.75,0.75,0.0,0.333,0.5,0.333,0.5,0.5,0.511,0.0,1.333,0.0001,0.0177,0.0041,0.0094
"At that time Socorro was doing her best to hate the captives-rico bourgeois scum, she had labeled them mentally, and still did.","at the time, Socorro really hated the captives - the rico bourgeois pariah, as she called them, and hated them.","at that time, Socorro was doing her best to hate the captured-rico","at time , there was just listening to her , the best guys are worth their seatbelt , and mrs.",0.312,0.067,0.312,0.312,0.131,0.0,0.85,0.222,0.0,0.222,0.222,0.266,0.0,0.9,0.9911,0.11,0.8589,0.0052
"But I got me a goddamn bartender who'il testify that old Stuntman Mike didn't drink a drop all night and his passenger was left stranded by her date in the goddamn rain no less, and she asked him for the fucking ride.","the bartender's gonna tell me that Kaskadre Mike didn't even have a drop in the night, so the kid got stuck in the rain, and she wanted him to give it a ride.",but I have a bartender who'll testify that old Stuntman Mike didn't drink all,but the bartender 's gon na tell me that kaskadre mike did n't even have a drop in the night.,0.275,0.122,0.196,0.196,0.156,0.0,0.939,0.571,0.481,0.571,0.571,0.526,0.228,0.758,0.0031,0.001,0.0002,0.098
He'll chop strangers to pieces.,he's tearing strangers to pieces.,he'll cut the skin of whoever he wants.,he 'll send rid of government.,0.133,0.0,0.133,0.133,0.137,0.0,1.6,0.167,0.0,0.167,0.167,0.143,0.0,1.2,0.005,0.0489,0.4472,0.0017
I don't know who the fuck these two other guys are.,I don't know who these two are.,I don't know who these other guys are.,i do n't know who the two guys are.,0.824,0.667,0.824,0.824,0.872,0.513,0.286,0.667,0.25,0.667,0.667,0.856,0.0,0.571,0.0002,0.0002,0.0002,0.0002
That club stinks of David Chan.,the club smells David Chan.,the club smells of David Chan.,that was the club.,0.909,0.667,0.909,0.909,0.965,0.0,0.2,0.444,0.286,0.444,0.444,0.433,0.0,1.0,0.0002,0.0094,0.0004,0.0004
"Me, die to rid the world of a Johnny Rocco?!",I'm supposed to die to get rid of Johnny Rocco?,"me, I want to get rid of Johnny Rocco?","me , the whole world to johnny accepts your world!",0.7,0.556,0.7,0.7,0.667,0.571,0.4,0.2,0.0,0.2,0.2,0.084,0.0,1.0,0.0006,0.0001,0.0001,0.003
You're my bro and she's your bitch.,"you're my brother, and she's your wife.",you're my friend and she's your girl.,"you 're my brother , and she 's your dog.",0.778,0.625,0.778,0.778,0.715,0.0,0.286,0.889,0.875,0.889,0.889,0.905,0.26,1.0,0.9995,0.4737,0.0031,0.1728
The feeling that someday they will pass that foolish la ... or one just like it and come for yo ... and your children?,"the feeling that someone's going to issue some kind of law... or something, and they come for you... and your kids?","the sense that someday they'll pass the La, or one like it, and go","the feeling of when they took it , it 's been in - in one or just would come for ...",0.27,0.0,0.216,0.216,0.139,0.0,0.81,0.4,0.105,0.3,0.3,0.292,0.0,0.905,0.8871,0.0004,0.0004,0.0035
"When I left you at the tube earlier, I went home and found my boyfriend... ...in bed with another woman. Shit!","when we broke up on the subway, I went home and found my friend...","when I left you at the tube, I went home and found my boyfriend in bed with","when i left you before i found my wife , i found my friend in bed with another bed.",0.516,0.345,0.516,0.516,0.615,0.348,0.643,0.313,0.133,0.313,0.313,0.343,0.0,1.143,0.1858,0.0003,0.0006,0.0221
Best thing for her is Botox in the bladder.,the best for her will be a Botox bladder.,the best thing for her is Botox in the bladder.,the best thing is for her to go to mass.,0.632,0.235,0.632,0.632,0.625,0.0,0.556,0.421,0.235,0.421,0.421,0.506,0.0,0.778,0.004,0.0053,0.0255,0.0049
Real fuckin' funny about the pictures.,"it's so much fun, the pictures.",there's something funny about the pictures.,really funny about the girls.,0.429,0.167,0.429,0.429,0.421,0.0,0.667,0.167,0.0,0.167,0.167,0.115,0.0,0.833,0.0001,0.0004,0.0002,0.0003
But it'll give us a matri-fucking-lineal match to his mother.,but it will give us a matrimonial match with his mother.,but it'll give us a matri-puri match to his mother.,but it 'll give us a match - an match - his daughter to his mother.,0.696,0.381,0.696,0.696,0.717,0.0,0.364,0.64,0.348,0.64,0.64,0.688,0.0,0.727,0.9352,0.0158,0.0468,0.0378
Those guys are gonna use me up and end me.,or if guys can use me to end it with me.,they'll put me up and end up.,they 're gon na use me and end me.,0.211,0.0,0.211,0.211,0.128,0.0,0.909,0.4,0.111,0.4,0.4,0.378,0.0,0.636,0.0002,0.0018,0.0074,0.2655
"Hurt you and you take the northeast, where stáèí way.",you and Hurt will take the northeast where there is a stable path.,"hurt you and go northeast, where you can find the way.","you just take the jokes and close , where they 're going to fly.",0.5,0.182,0.333,0.333,0.383,0.0,0.846,0.385,0.083,0.308,0.308,0.302,0.0,0.923,0.9914,0.0004,0.2241,0.0502
"She’s gone, her shit's gone and my 10 000 motherfucking dollars is gone...","she's gone, she's gone, she's gone, and she's got my 10,000 bucks.","she's gone, her stuff's gone and my 10 thousand dollars are gone...","she 's gone , she 's gone , and she 's gone my ex - modern decorations , and he 's got his",0.581,0.345,0.516,0.516,0.255,0.0,0.833,0.722,0.588,0.667,0.667,0.718,0.0,1.75,0.0025,0.0045,0.001,0.0382
"A crazy farmer namedharold clark is driving up to washington, d.C.","a deranged farmer named Harold Clark goes to Washintgton, D.C.","a crazy farmer named Harold Clark is going to washington, D.C.","a incredible talent by the shop is to washington , john.",0.696,0.381,0.696,0.696,0.711,0.433,0.4,0.19,0.0,0.19,0.19,0.167,0.0,0.9,0.0009,0.0979,0.001,0.0004
Who gives a shit?,who cares?,who cares?,who cares?,1.0,1.0,1.0,1.0,0.981,0.0,0.0,1.0,1.0,1.0,1.0,0.981,0.0,0.0,0.0002,0.0005,0.0005,0.0005
"Damn, dude. You get the license plate of that truck that ran over you?","wow, you got the license plate of the truck that ran you over?","dude, did you get the license plate of the car that ran over you?",you get the license of the car that was taking you off?,0.741,0.4,0.667,0.667,0.716,0.301,0.462,0.56,0.174,0.56,0.56,0.427,0.0,0.538,0.0002,0.0004,0.019,0.0002
"living here, there was this man-- a crazy man-- he really scared me.","when I was young and lived here... there was a man... a madman, he really scared me...","living here, there was a guy who really scared me.","spirit , there was an gang just an irishman , there was a really scared of me.",0.519,0.4,0.519,0.519,0.409,0.094,0.706,0.437,0.2,0.437,0.437,0.305,0.0,0.882,0.0033,0.0003,0.0002,0.0211
I'm gonna take care of this jerk.,I'll take care of him.,I'll take care of him.,i 'll take care of him.,1.0,1.0,1.0,1.0,0.999,1.0,0.0,1.0,1.0,1.0,1.0,0.999,0.615,0.4,0.0001,0.0002,0.0002,0.0012
"Then there were his whores, the young women, and sometimes young men, who would accompany him at inappropriate junctures.","and besides, those of his girls - young women and sometimes young men who accompanied him to inappropriate places.","then there were his charges, young women, and sometimes young men who joined him in","then there were his little girls , and young women , as young and blind.",0.545,0.387,0.545,0.545,0.455,0.213,0.579,0.452,0.069,0.323,0.323,0.285,0.0,0.842,0.9891,0.0051,0.001,0.1334
And to watch her kill was chilling.,looking at her killing was appalling.,and to watch her murder was incredible.,and to watch her 's sad.,0.308,0.0,0.308,0.308,0.211,0.0,0.833,0.167,0.0,0.167,0.167,0.143,0.0,1.0,0.0004,0.0002,0.0291,0.1908
Damn thing kept me up all night.,I was up for him all night.,the thing kept me up all night.,i could have done it all night.,0.429,0.167,0.429,0.429,0.469,0.0,0.714,0.429,0.167,0.429,0.429,0.469,0.0,0.571,0.0009,0.0003,0.0004,0.0003
This garbage is what we used to wear.,we used to wear these things.,this is what we used to wear.,this is what we used to wear.,0.615,0.545,0.615,0.615,0.682,0.366,1.0,0.615,0.545,0.615,0.615,0.682,0.366,1.0,0.0002,0.0002,0.0003,0.0003
Maybe you should send her back to the retard camp.,maybe you should send her back to the destitute where she belongs.,maybe you should send her to the camp.,maybe you should send her back to a little camp.,0.7,0.556,0.7,0.7,0.618,0.34,0.417,0.636,0.6,0.636,0.636,0.62,0.492,0.417,0.9996,0.9978,0.0209,0.0125
"He had a big, open Farmer John face, but Huddie was a long way from stupid.","he had a big honest farm face, but he had a long way to go.","he had a broad, open face, but Huddie was a long way from there","he had a big ... open john , but he was just an long way from a long way.",0.552,0.37,0.552,0.552,0.509,0.0,0.467,0.562,0.4,0.562,0.562,0.584,0.205,0.733,0.0009,0.0004,0.001,0.0178
"Her life would have been so much simpler if she'd been able to just write him off as one more under-brained, over-bred, aristocratic jackass who'd gotten his present command through the pure abuse of nepotism.","she would have had a much simpler life if she could simply write him off as another degenerate aristocratic blb, who was given his current command solely by virtue of nepotism.","her life would be simpler if she had written him off as one more, or more,","her life would have been so much than his credit feet , just could write him more than his feet.",0.383,0.133,0.298,0.298,0.304,0.0,0.806,0.32,0.083,0.28,0.28,0.234,0.0,0.871,0.0005,0.8329,0.0004,0.0339
"You don't have a fucking clue, do you?","you don't even have a clue, do you?","you have no idea, do you?","you do n't have a idea , do you?",0.533,0.154,0.533,0.533,0.526,0.298,0.5,0.667,0.25,0.667,0.667,0.81,0.325,0.5,0.0002,0.0242,0.0029,0.0045
And then she had sex with him.,she slept with him.,then she had sex with him.,and then she had courage.,0.6,0.25,0.6,0.6,0.721,0.0,0.75,0.222,0.0,0.222,0.222,0.196,0.0,1.25,0.283,0.0118,0.5125,0.0137
I did all that shit.,I've done it all.,I've done that.,i did it all.,0.667,0.571,0.667,0.667,0.636,0.0,0.5,0.667,0.286,0.667,0.667,0.636,0.0,0.5,0.0002,0.0002,0.0007,0.0002
The biggest rat hole in the world fucking killed Jerry.,the world's deadliest hole in the world killed Jerry!,the biggest hole in the world is where Jerry died.,the biggest hole in the world killed by the world.,0.6,0.333,0.6,0.6,0.511,0.26,0.667,0.7,0.556,0.6,0.6,0.577,0.367,0.556,0.0001,0.0002,0.0001,0.0055
What do we do? Do we just fucking rot?,are we just gonna rot in here?,what are we gonna do?,what do we do?,0.5,0.2,0.5,0.5,0.507,0.0,0.714,0.182,0.0,0.182,0.182,0.116,0.0,1.0,0.0001,0.0056,0.0002,0.0002
You smell like alcohol.,I smell alcohol.,smell of beer.,you smell like booze.,0.333,0.0,0.333,0.333,0.25,0.0,1.0,0.286,0.0,0.286,0.286,0.244,0.0,1.0,0.0051,0.0002,0.0002,0.1194
The fuck do I know? What's the difference?,what difference does it make?,what do I know?,do i know what 's the difference?,0.222,0.0,0.222,0.222,0.254,0.0,0.8,0.333,0.0,0.333,0.333,0.323,0.0,1.4,0.0002,0.0003,0.0002,0.0087
Paul is gonna whack the three of them.,Paul makes them all three.,Paul will distract them.,paul will be the three of them.,0.444,0.0,0.444,0.444,0.254,0.0,0.8,0.5,0.0,0.333,0.333,0.323,0.0,1.2,0.0002,0.0008,0.0002,0.0025
What the hell's wrong with your band?,what's wrong with yours?,what's going on with your band?,what 's the matter with your band?,0.5,0.2,0.5,0.5,0.719,0.0,1.0,0.5,0.2,0.5,0.5,0.719,0.0,1.5,0.0002,0.2715,0.0001,0.0002
You'll never amount to anything if you're dead.,you never achieve anything when you die.,you'll never amount to anything if you're dead.,you 'll never do anything to if you 're dead.,0.471,0.0,0.471,0.471,0.301,0.0,0.857,0.471,0.0,0.471,0.471,0.301,0.0,0.857,0.0001,0.0002,0.0007,0.0621
"Mine says I have an insect for a brother, and I should squash him!",it's here that my brother is an insect that I have to squeeze!,my text says I have an insect for my brother and I should get him!,"my brother says i have an brother for a brother , and i should have sent him.",0.414,0.222,0.276,0.276,0.379,0.0,1.0,0.333,0.143,0.333,0.333,0.163,0.0,1.077,0.0002,0.0023,0.0002,0.0212
"Some freak'll come up in here and stab me, man!",a junkie comes in here and grabs me!,some guy's gonna come here and give me one!,"just dj , come in here and point me in the point.",0.333,0.125,0.333,0.333,0.4,0.0,0.875,0.421,0.235,0.421,0.421,0.396,0.0,1.125,0.0002,0.0002,0.0002,0.0038
What the hell's wrong with you?,what's going on with you?,what's the matter with you?,what 's wrong with you?,0.667,0.4,0.667,0.667,0.691,0.0,0.4,0.727,0.444,0.727,0.727,0.701,0.0,0.6,0.0001,0.0004,0.0041,0.1232
"If you're gonna be sick in here, you crack that window.","if you feel bad, break the window.","if you're gonna get sick here, crack the window.","if you 're gon na be tired here , you 're still high the window.",0.471,0.267,0.471,0.471,0.736,0.0,0.857,0.381,0.211,0.381,0.381,0.527,0.0,1.571,0.0002,0.0002,0.0005,0.014
"Since I met you, I've nearly been incinerated, drowned, shot at, and chopped into fish bait.","I nearly burned down, drowned, and chopped me up as bait for fish.","since I met you, I've nearly been incinerated, drowned, shot, and","since i was the case , i 've been looking at the case , the miracle 's fallen into the window.",0.32,0.0,0.32,0.32,0.266,0.0,1.0,0.062,0.0,0.062,0.062,0.12,0.0,1.538,0.0011,0.0007,0.0003,0.0072
"Oh, don't worry, he's probably just trying to fuck Oliver's sister.",I guess he's just trying to nail Oliver's sister.,"don't worry, he's probably trying to impress Oliver's sister.","do n't worry , he 's probably trying to play michael.",0.609,0.381,0.609,0.609,0.638,0.0,0.444,0.364,0.2,0.364,0.364,0.31,0.0,1.111,0.0015,0.0002,0.0002,0.0236
The real story is the sinking of this bloody newspaper!,the real story will bring our newspaper out of here!,the real story is the sinking of the paper!,the real story is the radio.,0.421,0.235,0.421,0.421,0.341,0.0,0.7,0.375,0.286,0.375,0.375,0.241,0.0,0.7,0.0002,0.0004,0.0004,0.0002
"There are only three bodies in there now (one is a banker who tried to run away, foolish man), but soon there may be lots more.","there are only three bodies in it (one of them belongs to a banker who attempted to escape, crazy old), but there will soon be many more.","there's only three bodies in there (one's a banker who tried to run away,","there 's only two two of two on those guys who tried to run out , but you 're a man.",0.512,0.244,0.465,0.465,0.392,0.091,0.704,0.298,0.0,0.255,0.255,0.188,0.0,0.778,0.0014,0.1078,0.0002,0.0128
"Dean,samhain is the damn origin of halloween.","Dean, Samhain is the bedrock of the original Halloween.","Dean, Samhain, is the source of the Halloween.","besides , they were the gang.",0.824,0.533,0.824,0.824,0.697,0.0,0.333,0.143,0.0,0.143,0.143,0.142,0.0,0.889,0.066,0.0002,0.0009,0.013
"""Hand's going to recognize you and tell all his assholes who you are.",'hand will recognize you and tell your henchmen who you are.,"""your hand will recognize you and tell everyone you are.""",""" hand , you want to recognize your hand and tell you who cares about everything.",0.857,0.632,0.762,0.762,0.73,0.398,0.545,0.64,0.087,0.4,0.4,0.426,0.0,1.182,0.0015,0.0577,0.078,0.0192
"Don't fuck with me, boy.","don't play games with me, little boy.","don't mess with me, boy.","do n't mess with me , boy.",0.714,0.333,0.714,0.714,0.686,0.0,0.429,0.533,0.154,0.533,0.533,0.686,0.0,0.714,0.0002,0.0305,0.3838,0.4968
"But if you weren't such a pussy, you could try this.","but if you don't want to be a softy, you can try this.","but if you didn't have that much, you could try this.","but if you were n't such a cat , you could try this.",0.538,0.25,0.538,0.538,0.624,0.0,0.538,0.593,0.24,0.593,0.593,0.64,0.0,0.538,0.8578,0.0425,0.0002,0.0061
"Drop the gun, asshole!",and you drop the gun.,drop the gun!,drop the gun!,0.75,0.667,0.75,0.75,0.508,0.0,0.6,0.75,0.667,0.75,0.75,0.508,0.0,0.6,0.0001,0.0038,0.0012,0.0012
"If I don't drink while I'm working, I'll fuckin' kill myself.","if I hadn't been drinking during my work, I'd have killed myself.","if I don't drink while I'm working, I'll be in spades.",if i do n't drink while i 'm working.,0.286,0.077,0.286,0.286,0.395,0.0,0.833,0.333,0.091,0.333,0.333,0.311,0.0,0.833,0.0001,0.0002,0.0003,0.0104
I've got his pig-sticker.,I got his point!,I have his picture.,i have his teacher.,0.5,0.0,0.5,0.5,0.2,0.0,0.5,0.5,0.0,0.5,0.5,0.2,0.0,0.5,0.0004,0.0002,0.0002,0.0005
You better fucking take care of this.,you better take care of it.,you better take care.,you better take care of this.,0.8,0.75,0.8,0.8,0.712,0.474,0.5,0.833,0.8,0.833,0.833,0.841,0.643,0.167,0.0001,0.0006,0.0003,0.0002
Tell me what the fuck happened now.,tell me what's going on.,tell me what happened to you.,tell me what happened now.,0.5,0.4,0.5,0.5,0.536,0.0,0.8,0.545,0.444,0.545,0.545,0.543,0.0,0.6,0.0002,0.0004,0.0005,0.0003
Don't you want me to lick your balls first?,you want me to shut him up first?,don't you want me to lick your hands first?,do n't you want me to the yankees?,0.556,0.375,0.556,0.556,0.64,0.312,0.5,0.471,0.4,0.471,0.471,0.538,0.316,0.75,0.9958,0.0073,0.9903,0.0003
"""But perhaps even THEN you were a bigger fool,""","""but maybe you were even bigger,""","""but maybe even then you were bigger,""",""" but but then you were a bigger bigger story ,""",0.923,0.364,0.769,0.769,0.946,0.0,0.5,0.533,0.154,0.533,0.533,0.616,0.0,1.5,0.0003,0.0578,0.0538,0.0101
"Your office shall be here, in the head of a Tyrannosaurus rex!","your office will be here, in a tyrannosaurus rex.","your office will be here, in the head of the Tyrannosaurus rex.",your office will be in a head of michael!,0.762,0.632,0.762,0.762,0.881,0.532,0.444,0.667,0.5,0.667,0.667,0.54,0.283,0.444,0.0002,0.0045,0.0022,0.0032
"Guards, subdue him.","guards, bring him in.","guards, search him.","guards , guards.",0.571,0.0,0.571,0.571,0.535,0.0,0.75,0.333,0.0,0.333,0.333,0.259,0.0,1.0,0.0032,0.0014,0.0002,0.0007
Quit fuckin' around and give her the shot.,stop messing around and give it to her.,come on and give her a shot.,stop around and give her the ship.,0.4,0.154,0.4,0.4,0.355,0.0,0.75,0.667,0.308,0.667,0.667,0.574,0.0,0.5,0.5734,0.0841,0.0094,0.0004
"He was scum, Lew.","he was a punk, Lew.","he was a mate of yours, Lew.",he was proud.,0.667,0.4,0.667,0.667,0.818,0.0,0.6,0.5,0.333,0.5,0.5,0.381,0.0,0.6,0.0001,0.1186,0.0004,0.0002
"Hey, you jerks from Velrans!","hey, you guys are out of Verlans!","hey, from the Velrans!",you 're from chicago!,0.182,0.0,0.182,0.182,0.294,0.0,0.857,0.182,0.0,0.182,0.182,0.116,0.0,0.857,0.9979,0.0002,0.9961,0.0031
And it will be a scoundrel wedding.,and it will be a rogue wedding.,and it will be a no-brainer wedding.,"and it 's going on a wedding , come on.",0.8,0.615,0.8,0.8,0.865,0.595,0.143,0.5,0.143,0.5,0.5,0.448,0.0,1.0,0.0004,0.0026,0.0063,0.0242
Why ridiculous? Lt's new.,why funny? Lt's new.,the Lieutenant's new number.,why is this new new?,0.4,0.25,0.4,0.4,0.37,0.0,1.0,0.4,0.0,0.4,0.4,0.217,0.0,1.0,0.0001,0.0067,0.0003,0.0002
"Now, Traymore's gonna embrace global warming and that goddamn HEARPE Project. And that, incredibly, is what the American people want.","and go go Treylar's hand in hand with the Haarp project to help global warming, and that's what Americans want.","Tara will embrace global warming and the HEARPE Project, and that's what the","now , they 'll lead dr and amateur governor. which means that means a simple , young profit.",0.5,0.294,0.389,0.389,0.406,0.132,0.8,0.105,0.0,0.105,0.105,0.106,0.0,1.0,0.0022,0.0216,0.0004,0.0056
He must have fucked a frog!,you see? He must have drunk a frog!,he must have done it with the frog.,he must have got a nice shop!,0.5,0.286,0.5,0.5,0.379,0.0,0.875,0.533,0.308,0.533,0.533,0.455,0.0,0.625,0.0002,0.0001,0.001,0.0001
Happens he had lots of time to think after he chucked Lib to a fiery grave because he stayed in that primitive era and got his arse shot off and this caused a long convalescence.,"so he had a lot of time to think about it, because he put Lib to his grave in primitive time, and that caused her long healing.",it happens he had a lot of time to think about it after dropping off,he was a lot of time to think he was after after the second he was screaming because he was screaming because he had to himself.,0.476,0.45,0.476,0.476,0.329,0.23,0.704,0.415,0.275,0.377,0.377,0.344,0.198,0.741,0.9309,0.0121,0.0002,0.0019
"No, he was fine for six months in Albuquerque, but his dumb ass had to sneak back here and visit his dying mom.","no, he was fine in Albuquerque for six months, but he came here to visit his dying mother.","no, he was fine for six months in Albuquerque, but he had to go back and","no , he was all six months for six months ...... but he had to meet him here and another bus and he had to see him.",0.706,0.437,0.588,0.588,0.701,0.306,0.611,0.465,0.293,0.465,0.465,0.463,0.122,1.111,0.0159,0.0007,0.0005,0.0023
"What kind of Christian, I mean, what kind of man just up and deserts his cousin in the middle of the goddamn woods?","what kind of Christian, I mean, what kind of guy touches his own cousin in the middle of the woods and leaves him there?","what Christian, I mean, what guy goes for his cousin in the middle of the woods","what a christian of christian , i mean , what 's just a full of sister and his middle of his middle.",0.7,0.474,0.7,0.7,0.604,0.378,0.458,0.5,0.238,0.455,0.455,0.451,0.256,0.875,0.9865,0.2193,0.0195,0.0294
"They let him stumble on them, drew him on, ambushed him, and killed him.",they let him in. He was attacked by an ambush and killed.,"they let him go, drew him on, ambushed him, and he was killed","they let him go on them , learn to him , ryan went on him , and he 's gone.",0.56,0.261,0.48,0.48,0.445,0.0,0.833,0.345,0.148,0.276,0.276,0.29,0.0,1.333,0.0004,0.0004,0.001,0.0468
"If we go to High Harbor without her, we'il be killed like this, see?","if we go back to High Harbor without her, it's going to turn out like this, right?","if we go to High Harbor without her, we'll be in spades, see?","if we go to a high - a high - year without her , you have to see this?",0.5,0.4,0.5,0.5,0.465,0.314,0.529,0.529,0.188,0.529,0.529,0.425,0.0,0.882,0.0002,0.0005,0.0012,0.0009
"The Finn, against a background of twisted, impacted junk.","Finn, on the background of twisted, smashed debris.","the Finn, against a background of salvos, was able to survive.","smiling , wasting the white brothers.",0.421,0.118,0.316,0.316,0.507,0.0,1.0,0.154,0.0,0.154,0.154,0.142,0.0,1.0,0.9995,0.0017,0.0013,0.9482
"Well fucking done, Peter!","well done, Peter!","well done, Peter.","peter , peter!",1.0,1.0,1.0,1.0,0.794,0.669,0.333,0.4,0.0,0.4,0.4,0.601,0.0,0.667,0.0001,0.0001,0.0002,0.0009
The man shut up.,the man fell silent.,the man fell silent.,be quiet.,1.0,1.0,1.0,1.0,0.996,1.0,0.0,0.0,0.0,0.0,0.0,0.104,0.0,1.0,0.0001,0.0005,0.0005,0.0046
"After all, she thought bitterly, it was just the sort of thing some untrained idiots might come across; maybe a quiet patrol could even surprise them there . . .","after all, she thought grimly, it was the kind of situation the scouts might have encountered, and if the enemy had sent a silent watch, she might even surprise them.","all right, she thought, it was the kind of thing that some trained pouches","after all she thought , she thought it was just a terrible thing as far.",0.364,0.238,0.364,0.364,0.225,0.12,0.8,0.364,0.19,0.318,0.318,0.25,0.0,0.867,0.0759,0.001,0.0032,0.0021
""" 'Cause you and I are both too old for that shit, Zimmer!"" PJ laughed.","""since we're getting old, you know, Zimmer?"" PJ laughed.","because you and I are both too old for that kind of thought, Zimmer!""",""" because you 're both too old for that means , ' watched mel. """,0.25,0.0,0.167,0.167,0.231,0.0,1.556,0.286,0.0,0.19,0.19,0.157,0.0,1.667,0.0002,0.0148,0.3619,0.0823
"If you're right, we'il look like the biggest pussies in New York.","if you're right, we'll look like the biggest bunch of tramps in New York.","if you're right, we'll look like the biggest pussies in New York.","if you 're right , you 're right in the biggest biggest new york.",0.867,0.786,0.867,0.867,0.842,0.678,0.214,0.621,0.37,0.552,0.552,0.541,0.0,0.786,0.5973,0.0009,0.9772,0.0067
"Let me be frank, under your guidance we're now standing face to face with a catastrophic shitstorm and I am standing face to face with incompetence.","I'll make this clear: By your command, we are now facing a monumental catastrophe, and I now face complete incompetence.","let me be honest, we're now standing face to face with a major crisis, and","let me be frank , the cavalry , we 're on your face and now a face on his face.",0.27,0.0,0.216,0.216,0.26,0.0,0.9,0.308,0.0,0.205,0.205,0.203,0.0,0.95,0.0001,0.0002,0.0004,0.0265
Thought that I was some sexual stiff?,did they think I was kind of sexually uptight?,you thought I was some kind of sexual stiff?,thought i thought i was a lot of mistake?,0.444,0.25,0.444,0.444,0.672,0.0,0.667,0.333,0.125,0.333,0.333,0.446,0.0,0.778,0.0001,0.0003,0.0001,0.0003
Asher said they found a map... ...of Portillo's Auto Bodyin your garbage.,Asher says they found a map...... in your trash where Portillo was the garage.,asher said they found a map of Portillo's Auto Body in your pack.,"they said they found a map , they were proud of your jokes.",0.571,0.308,0.5,0.5,0.609,0.138,0.714,0.385,0.25,0.385,0.385,0.362,0.119,0.786,0.001,0.0083,0.0002,0.0016
"Mrs. Botwin, can we have sex in your house?","Mrs. Botwin, can we love each other in your house?","Mrs. Botwin, can we have sex at your house?","mrs. wallace , can we have to be in your house?",0.632,0.471,0.632,0.632,0.667,0.489,0.4,0.6,0.333,0.6,0.6,0.649,0.312,0.5,0.6728,0.0002,0.5981,0.0023
"I come in here. You don't know me. You don't know who I am, what my life is... ...and you have the balls, the indecency to ask me a question about my life?","I come here, you don't know me, you don't know anything about me, but do you have the nerve to ask me about my problems?","you don't even know who I am, what my life is like, and you don","you do n't know what you 're doing , and i do n't know what you 're my life is?",0.372,0.146,0.279,0.279,0.152,0.0,0.88,0.417,0.087,0.333,0.333,0.32,0.0,0.88,0.0032,0.0009,0.0101,0.0892
You judges are a drag!,you judges are a brake!,the judges are making it so hard!,you 're moving to play!,0.333,0.2,0.333,0.333,0.412,0.0,1.0,0.2,0.0,0.2,0.2,0.167,0.0,0.8,0.0002,0.0001,0.0001,0.0013
Are you the guy that's been killin' all them girls on the freeway?,are you the guy who killed the girls on the highway?,is that the guy who was attacking all the girls on the freeway?,are you the guy just decided to close all those girls on the girls?,0.583,0.455,0.583,0.583,0.638,0.266,0.545,0.56,0.522,0.56,0.56,0.513,0.257,0.636,0.0057,0.0083,0.012,0.0051
You're not fucking going anywhere!,you're not going anywhere!,you're not going anywhere!,you 're not going anywhere.,1.0,1.0,1.0,1.0,0.998,1.0,0.0,1.0,1.0,1.0,1.0,0.83,0.0,0.75,0.0001,0.0001,0.0001,0.0355
"Your wife is bleeding internally, Mr. President.",your wife is suffering from internal bleeding.,"your wife is bleeding internally, Mr. President.",your wife is left mr. president.,0.571,0.333,0.571,0.571,0.631,0.0,0.571,0.462,0.364,0.462,0.462,0.475,0.0,0.571,0.0018,0.006,0.1217,0.0453
David's pretty pathetic at every sport he attempts... ...so he wants as few people to witness it as possible.,David is quite bad in every sport he's testing...... so he's happy for everyone who's watching.,"David's really excited to show up every sport he attempts, so he wants as","david , every other sense of every city , so he wants to take some other people like that.",0.412,0.188,0.353,0.353,0.31,0.0,0.875,0.222,0.059,0.222,0.222,0.178,0.0,1.062,0.0001,0.0002,0.0001,0.0065
You pay for the Russians as much as for us. White girls cost more.,"you charge for those Russian girls as well as for the rest of us, but white girls stand more.",you pay as much as we do.,you pay for the russians as much as much people are for us.,0.231,0.0,0.231,0.231,0.102,0.0,0.842,0.438,0.067,0.375,0.375,0.222,0.0,0.789,0.9994,0.6632,0.013,0.3518
"Which was actually my fault. Because she was busy having choke-sex with a murderous cyborg, who then became the new head of the KGB.",because he was being strangled by a murderous cyborg who then began to lead the KGB.,"because she was too excited to have a little fun with a deadly cyborg, who then","which is really bad , because she was a really born and took a gang with the gang who have done with a cigarette.",0.438,0.133,0.375,0.375,0.282,0.0,0.875,0.256,0.0,0.205,0.205,0.225,0.0,1.312,0.4571,0.1869,0.0885,0.1176
I remember the day you and I talked about digging a hole in fucking dirt and smoking hash through the ground.,I remember how we wanted to make a hole in the dirt and smoke it through the ground.,I remember how you and I talked about digging a hole in the dirt and,i remember what you were thinking about if you were just a hole in the mirror and then he did n't smoke in the air.,0.545,0.452,0.545,0.545,0.442,0.316,0.611,0.409,0.19,0.409,0.409,0.405,0.122,0.944,0.0017,0.0002,0.0001,0.0009
I feel shitty.,I feel terrible.,I feel bad.,i feel bad.,0.667,0.5,0.667,0.667,0.639,0.0,0.333,0.667,0.5,0.667,0.667,0.639,0.0,0.333,0.0001,0.0001,0.0002,0.0006
