toxic,nontoxic
Yeah? Fucking Hawaiian pizza?,"you're eating Hawaii pizza, right?"
Some goddamn deer!,so it wasn't a deer!
"I smell horse shit, and it's probably been a long time since you've seen a hundred dollar bill around this place.","I feel the grasshopper, and it's been a long time since you've been paid a hundred bucks."
Let's put this shit behind us.,let's put this behind us.
"They couldn't be as dumb as they look. Yes, they could.",they can't be as bad as they look.
Fuck you. You might be able to buy one in the gift shop.,but you can buy it at the gift shop.
they found the safe. - Fuck.,they found the safe.
Fuck him. Brigette called me.,Brigette called me.
My wife's on one ofthe goddamn planes these guys are fucking with.,my wife is in one of those planes she's messing with.
"Oh shit, it's a Decepticon!",it's Decepticon!
This is the stupidest evening.,this is the funniest night.
"We just lost power in the lab, Bob. - Goddamn him!","we lost the power in the lab, Bob."
We can't keep doing the same shit anymore.,"I hate to do this, but you can't stay with us anymore."
Damn Caribbean.,across the Caribbean.
"Oh, shit.","Jesus, no."
You're not gonna take your men... . . around into the jungle to avoid a goddamn fight!,you will not lead your men into the jungle to avoid a fight!
"Maybe you're not quite ready to get married, Greer. - Fuck you.","maybe you're not ready to get married yet, Greer."
"Fuck off, Roberts.","go on, Roberts."
"You're so full of shit. - Well, we're all wounded.",you're crying. - We all have wounds.
What the fuck you wanna get married for?,why would you want to get married?
You should have known after all the shit we did for you.,"after all we've done for you, you've got your mind."
Please... shit. Please.,"please, please."
"You better prepare yourself tonight, 'cause tonight, it's motherfucking on, bitch.","you better get ready, 'cause tonight is going to be a hell of a ride."
"You listen to what I'm telling you, you need to fuck with that kitchen.","listen to what I'm saying, you have to turn it upside down."
I knew I'd seen that damn face before.,I knew I'd seen his face somewhere.
Fucking starving.,I'm starved.
"Made me make her bed, get her shit.","make her bed, do her things."
Who the fuck you got sending you flowers?,who's sending you flowers?
Sounds like bird shit.,sounds like a bird's-eye.
"It's not about money,you ass.",it's not about the money.
Which I wouldn't have if I was zonked on that shit.,which I wouldn't have had if I had been doped up.
Couldn't find a bitch some place else?,couldn't you find a woman somewhere else?
None of your fucking business.,it's none of your business.
"Immunity and means, my ass.",immunity and means.
Where'd you learn that damn word?,where'd you get the word?
"Shit. I suck at talking like this, John.","I can't talk like that, John."
"Are you a reporter, are you a whore, what?",are you a reporter or what?
"Hey, kid, this is not your shit, man!","hey, kid, it's not yours, man!"
Who the fuck did this?,who did this to you?
Where's your fucking boyfriend?,where's your friend?
Poor fool.,poor guy.
Does this guy not know who the fuck I am?,the kid doesn't know who I am.
Every 30 seconds you're posting another stupid picture.,you send a new picture every 30 minutes.
"How they do it, bastards?",how do they do this to you?
"I'm tired ofthat old excuse, that shit?",I'm tired of this old thing.
"Don't blamethat shit on me, Ray.","don't blame me, Ray."
"You show me ID,or I'll get Storm Saxon on your ass.","show me your ID, or I'll call Saska."
What the fuck are you doing here anyway?,what are you doing here anyway?
Boo-boo kitty fuck?,BRM-Brm Pie?
What did all this shit cost?,what was it all about?
Why you still on your ass?,why are you still on the ground?
"You don't know what the fuck I'm talkin' about, do you?","Tony, I have no idea what you're talking about."
"Yeah, but you're a liar.",but you're lying.
"Molly, I don't understand how you could ..swallow this crap.","Molly, I don't see how you could do this."
What do I care if it is his weekend with the damn daughter?,what about taking care of my daughter?
You look like shit.,you look like one.
"""Shut up,"" Richards said.","""keep quiet,"" Richards said."
if you had just spent half the amount of time on your wedding vows... ...as this stupid little investigation... ...we would probably be walkingdown the aisle tomorrow.,if you only spend half your time working on your wedding vows...... instead of your little quest...... we might be able to walk down the aisle together.
"Seeyou later, you big motherfucker.","I'll see you later, Maxisrachi."
I went to a goddamn basketball game with these people.,"I was with those guys at the basketball game, those places weren't so good."
That's when your trouble-- - shut up!,"then the trouble-- - Quiet, but this isn't the man, okay?"
You're a traitor to me.,you betrayed me.
Who the fuck are you?,who do you think you are?
"Oh, shit.","oh, man."
"Jesus, goddamn.","oh, my God."
Never get a chance to know what the fuck you are in some factory in Ohio.,maybe you'll figure out what you're missing in an Ohio factory.
What the fuck?,what's your point?
"Hey, asshole, got my peanut butter?",you got my peanut butter?
What do you want? - Shut up.,what do you want?
"Ladies and gentlemen, I believe we've found ourselves a bitch!","ladies and gentlemen, we just found out we're both women."
"No, you idiot! The real ones were in the red bag!",the real ones are in the red bag!
Remind him that I own his ass.,remind him that I'm the master here.
"Africa, you did the damn thing.","Africa, you've proven it."
"Hell, I ain't selling him shit.",I'm not gonna sell him anything.
These charges are such bullshit.,these allegations are meaningless.
"You'd like that, wouldn't you? Fuck you!","you'd like that, wouldn't you?"
"Yes, but thanks to you, that's been pushed far down the list of the moronic things you've done.","yes, but thanks to you, it has moved down the list of debauchery things you've done."
Probably good you're going home. Shit.,I guess it's good that you're going home.
He looked like shit.,he looked terrible.
"Helping you, I get to mind-fuck the police, the mayor, and the fire department in one shot.","the fact that I'm helping you means that I can go to the cops, the mayor and the firemen, you know?"
"Your shit's over there, man.",there's your stuff.
"Hey, Chief... ...you a lucky crap shooter?","hey, boss...... are you lucky?"
"Hey, guys, turn off those damn televisions!","gentlemen, turn off the television!"
"Fool, come here.",come here.
"Damn poet, you don't have any air left for one verse.",poetry didn't even come to verse!
New York has gorgeous garbage.,new York has great landfills.
Ah... bitch!,oh... Girl!
"If we're changing shit, we gotta be taking advantage of shit.","if we don't change anything, we have to take advantage."
"Some day, you'il thank me, asshole.","you'll thank me someday, man."
1550 millibars... dropping 20 mb per minute. Shit!,"1550 millibars, dropping by 20 in a minute."
"To feed your brain, fool.","to feed the brain, mate."
Why are you sellin' this shit when you got that big diamond in your hand?,why do you sell it when you have the diamond?
"Opposite of a fucking idiot food chain, pal.","the opposite of the food chain, man."
"In fact, no one in his right mind in your time would have believed that crap!'","in fact, even in your time, nobody in their right mind was in their right mind. """
I can't believe my stupid friends won'ha out with me.,I can't believe my friends are party.
I'm done with this shit.,I'm done with this.
Who the fuck are you kidding?,are you kidding me?
"""Damned dangerous, young man.""","""that's pretty dangerous, young man."""
"Caleb, open the door, man. Shit!","Caleb, open the door."
"""No one said anything about this kind of shit.""","""no one said anything about that sort of thing."""
My sister was born of that whore Anne Boleyn!,my sister is Anna Boleyn's daughter.
"What the shit, Archer?! ARCHER:","what are you doing, Archer?"
By understanding that you're not going to be intimidated by that little piece of shit Tommy Tremble.,I understand you won't be intimidated by Them messenger Tommy Tremble.
"I was in prison, you idiots.","I've been in prison, buoys."
"Can you imagine the Count or the Countess or Miles watching that shit?""","can you imagine seeing the Count, the Countess, or Miles? """
What the fuck's that?,what have you got?
"Yeah, I tried to do the right thing, but I ended up fucking your sister instead.","yeah, I tried to do the right thing, but instead, it ended up texting your sister."
You don't have any fucking men.,but you don't have any men.
"Because if this comes back to bite you in the ass, you're screwed.","because if it gets under your skin, you're finished."
"God damn it, William.","oh, my God, William."
You hear that shit?,do you hear that?
"It's true. Archie was the bitch, and Jughead was the butch.",Archie was a woman and Jughead man.
"Brilliant shit, man.","great, dude."
"Who's this, your new bitch?",is that your new girl?
Donkey Kong my ass.,no Donkey Kong.
None of your damn business,that's none of your business.
Valeri Borisovich Kharlamov... get the fuck off.,"Valeri Borisovich Charlamove, out of my sight."
There's nothing those bastards don't have.,there's nothing that they don't have.
Disgusting.,terrible.
You're welcome. Fuck off.,you're welcome.
"So Cathy tells me one thing, and then Liz says another... and then, of course, Jenny's got her own story, so which one do you want me to print? Print them all. He's a jerk.","everyone will say something, Lise will do it differently, and, of course, Jenny will bring her own version, so what I have to print."
You're goddamn CIA.,you're CIA.
"Steve: “Be quiet, stupid, they’ll hear you.”","Steve: ""Keep quiet, Hussa, they'll hear you."""
Get on your fucking knees.,now get on your knees.
Don't be foolish and expect anything to come of it.,but don't expect anything to come up.
That's even more fucked up.,that's even worse.
"Ignorant, but charming.","unmannered, but charming."
Crap.,a mess.
You son of a bitch. You named the boat after your mistress?,did you name the ship after your lover?
Come out of darkness and see the light. Kill 'em all!,come out of the dark and see the light
Joely. Shut up.,be quiet.
What the fuck's with you?,what are you doing?
"Remember, when in doubt... fuck.",remember when you don't know what....
"You happy now, bitch?",are you happy?
I'm taking my son with me. - Fuck you!,my son will come with me.
That also already has happened. Shit.,this has also happened.
I want you to say thank you for coming here and saving your pathetic life.,I want you to thank me for helping you to save your life.
The way you do that is to stop insisting that Walter Collins is not among those boys killed up at that goddamn ranch.,that's why you won't insist that Collins isn't among those guys killed on the ranch.
Let me turn this shit off!,let me turn off the horror!
I'm so fucked.,I'm so upset.
I'd be baking you fucking cookies all day and shit.,I'd bake you cookies every day.
He'll know you're there. - Damn it!,he'll know you're there.
We've both trusted men who have turned out to be bastards.,we trusted both men who turned out to be grazers.
Maybe it was a stupid mistake to leave the bank...,maybe it was a big mistake to leave the bank.
Fucking chill out!,"calm down, man!"
You idiots! You have your own World championship going on.,"you have your own championship, huh?"
You know who the fuck I am?,do you know who I am?
"Have you ever had a throbbing asshole, Charlie?","has she ever pulsed you, Charlie?"
"You arrogant Jewish... - Professor, what do you mean?","professor Grünbaum, what are you saying?"
"Man, how doyou know this shit's safe?.","man, how do you know this is safe?"
"You can fuck whoever you want,",you can grab whatever you want.
"""Why, you shitless coward . . ."" Blackthorne began, but stopped.","""what?"" Blackthorne began, but he stopped."
I want this damn thing taken out.,I want to take this out.
"The devastating impact of the duo can also be seen with their hit song... ...""Shut Your Fucking Face, Uncle Fucker.""","the influence of this Canadian duo is evident in their new song, ""Hold your hold, Uncle Domende."""
Say some shit.,just say.
"I want the last five years of my life back, you son of a bitch!",I want the last five years of my life!
Get the fuck out of Arizona.,get out of Arizona.
Human flesh is weak. My wounds from that damn cross are just old scars.,"the human body is weak, and my wounds really hurt are just old scars."
And the fuck horse you rode in on.,and the horse you came on.
"Yeah, same shit.","same thing, mate."
A girl in a red dress... with a big moron.,a girl in red and a big one.
Don't get nervous. You motherfucker!,just don't be nervous.
"You're a liar! She has been diagnosed with adolescent onset schizophrenia, Annie.","she was diagnosed with schizophrenia in the early stages, Annie."
"What the fuck is wrong with you, man?",what's the matter with you?
"Bullshit. He was a philanthropist, a pillar of the church... a tireless crusader for all that is decent... and an ensign in the Coast Guard during...","he was a philanthropist, and a pillar of the church... a tireless crusader nonetheless is decent... a batsman in a coastguard during the..."
"You son of a bitch You're a big guy, huh?","you're a tough guy, aren't you?"
And his brother's even more powerful scum.,and his brother's bigger.
They'd go out to Homeland Cemetery and urinate on your grave. Shit.,"eventually they would go out to Homeland Cemetery, where they'd be waiting for you on the grave."
"Forget about that damn wallet, OK?","forget the wallet, all right?"
He was some freelance piece of shit who sold the photo to the National Enquirer.,he was some sort of free-leg guy who sold that picture to the National Enquirer newspaper.
"Jade, when you're 18, you can go to hell for all I care.","Jade, when you're 18, you can go wherever you want."
No more bullshit!,no joking!
Your fear of intimacy is only matched by your ridiculous fantasy life.,your fear will only match your dream life.
"Dammit Mitch, you're asking questions that shouldn't be answered.",you ask questions that shouldn't be answered.
We go after this damn thing. Together.,we're going after that thing... together.
"Too bad you can't give him some stupid job at the awards show, so when he screws up, it doesn't matter.","it's a shame you can't give him a job on that show, which he won't mind if he ruins it."
"I saw her dead body, but I can't prove it. - Those fuckers.","I saw her body, but I can't prove it."
Don't believe any of this shit.,don't believe any of this.
"""Come here, Udun damn you!","""come here, Udun will take you!"
"Oh, fuck.",oh God.
"Henry, what the fuck?",what's going on?
"She knows, in some deep and sadly cunning part of her mind, that they would lull her and comfort her only to make her look stupid in the glare of their lights, the way that the people on the Jerry Springer Show always end up looking stupid.","in the back of her mind, her own cunning said that they would console her and cast her out only to look in the spotlight, for the way people always look at Jerry Springer's shows."
"""Son of a bitch."" Jack almost laughed out loud.",Jack nearly laughed out loud.
Your rat king!,your king's king!
"Manuel, bastard! - Where have you been?","hey, Manuel, where'd you go?"
The Brits have been fucking up for centuries.,the British have been howling with us for centuries.
"Come on, move your ass!","come on, move!"
Always trash.,it's always a waste.
She touch your butthole?,did she touch your dog?
You're always going to be trash just like her.,you've always been like her.
Fucking A your mom likes lan.,my mom loves you.
What are you going to do to the bastards when you find them?,what do you want to do when you find them?
My dad swapped a little girl from Georgia for this shit.,my father did this for the Dievchatko of Georgians.
"Every cop in this city's looking for him, not to mention the fucking beaners. -The fucking Orientals.","every cop in the city is looking for him, not to mention the Fazolans."
I did? Then I fucked your daughter.,then I'm your daughter.
"Oh, shit. You sold me the Lucid Dream.",you sold me a different dream.
You wanna spend your life knowing Dean's on your ass?,do you want to spend the rest of your life knowing Dean Winchester?
Don't touch my shit on the 2nd floor.,don't touch my stuff on the second floor.
"Hey, who the fuck you think you're talking to?",who do you think you're talking to?
He like a damn machine on automatic pilot.,he's like an automatic robot.
They used my body like a fucking bowling ball!,they made me a bowling ball!
"No. No, no. Don't be silly.","no, no, you don't wake up."
Turn off the fucking phone!,turn the phone off.
"Damn it! Stay put, peralta!","stay here, Peralta!"
"What's your damn problem, man?","you got a problem, man?"
"You promised us product, not sample! I brokered this goddamn deal!","you promised us a product, not a sample!"
This is a shit - You know that you should not be...,you know you shouldn't be there.
Fuck Come on.,come on.
Which idiot are you?,which one are you?
"We'll make a film, you faggot!",we're gonna make a movie!
There's basically two types of guys in the army - the motherfuckers and the motherfucked.,there are basically two types of people in the military.
"Okay, now I am starting to get irritated, like, I can't deal with that shit right now.","okay, now I'm getting angry, I can't deal with this right now."
She's the best piece of ass this side of the river.,it's the biggest raid on this side of the river.
I told you I know shit.,I told you I don't know anything.
Another such stupidity and you never see your daughter back. I want her voice heard.,"one more such shoe, and you'll never see your daughter again."
"I sat in their offices, And I begged those bastards.",I sat in their offices and begged.
That was the stupidest-looking swing I've ever seen.,that was the easiest punch I've ever seen.
Go the fuck home.,you go back home too!
It's in our fucking DNA!,it's in the DNA!
I love this jurisdiction shit.,I love those laws.
"I'm telling you, this guy's heart was breaking because... Ugh... ...he couldn't turn his goddamn head and just look at his goddamn wife.",the chap just kept his heart in his heart that he couldn't turn his head and look at his wife.
You're the one who made me have the stupid party.,you're the one who made me do it.
"Which only makes me work harder, and then I become the bitch.","which only makes me work harder, and then I became fated."
Follow the damn car.,follow the car.
"Come on, fucking Marine.","come on, Marine."
"Fuckin'come on, Ray.!","come on, Ray!"
"I'm gonna get to those big tobacco companies, and I'm going to thank them... ...when they put you in the fucking ground.",I'll call the tobacco companies and thank them for putting you under the flowers.
"I can move shit, Bannister.","I can stir things up, Bannister."
Let Marsha and her bitches send D'Artagnan to nigger heaven.,have Marsha and the other girls send D'Artagnan to a non-geran sky.
I want to... 'Fuck you. ' look into writing a memoir about my time in the Scots.,I want to...... read you a remembrance book about your involvement with the Scots.
"If you don't have the discipline to avoid the gambles, the stupid moves, then, my friend, one day you will go down, it's inevitable.","if you don't have enough discipline to avoid taking risks and blunders, then, buddy, one day you will inevitably sit."
Millions of tax dollars invested in watching your ass.,they spend millions of dollars out of taxes to watch you.
Let's find out if your wee boyfriend gives a shit about you.,we'll find out if your little friend cares about you.
Are these losers bothering you?,do they bother you?
I covered your ass last week.,I covered your back last week.
Shut up! I'm not going back to Connecticut with you.,I'm not going back to Connecticut with you.
He just fucked off and left me.,he just dropped out and left me.
So my pathetic friend...,"you know, my sad friend..."
The bitch ain't happy.,she's not happy.
What damn army?,what army?
He used to wear those stupid things all the time.,he wore this stuff all the time.
Martinez was nailin' Buck's wife. - Holy shit.,Martinez went to Buck's wife.
This shit is getting weirder by the second.,"every second, it gets weirder and weirder."
"With a lady like this, shit, I'd call you Lucky too.",he wants to call you Lucky too.
Let's do this shit.,let's do this.
Oh fuck what are you doing here?,what are you doing here?
"By the way, you were really fucked up last night, man.","by the way, you were pretty set up last night."
"""Watch your shit""?","""keep an eye on your stuff""?"
That's what your silly dad is there for!,and that's what your father is for.
Let your freak flag fly.,just let the flag fly.
"Pathetic, aren't they ?","they're docile, aren't they?"
"You know, he sent me this fucked-up YouTube clip.","you know what, he texted me a crazy YouTube video yesterday."
"Fuck, maybe he's in Iceland.",maybe he's in Iceland.
What the fuck is wrong with you?,what's wrong with you?
"Yeah, you. Fuck-head.","yeah, I mean you."
"Who the fuck are you, Niebaum?","what are you, Niebaum?"
"I'm gonna take care of that shit real soon, nigga.","I'll take care of it soon, mate."
What kind of desperate and pathetic emotional cripple would actually buy that as an ending?,what desperate and emotional limited would that take as an end?
Get up against the wall and give me a hand. fuck you!,stand against the wall and put your hands up.
Nothing as fancy as that shit you wear to work.,nothing as fancy as you wear at work.
Now I understand why you're taking all her shit.,now I understand why you bring it all up.
"How the hell are you going to let a guy old enough to be a statue carry that shit in his wallet, Sal?","how could you leave a man so old he could have a statue carrying something like that in his wallet, Sal?"
Steam turns the turbine... then the shit hits the fan.,steam turns turbine... and then the trouble starts.
Open those fucking eyes!,open your eyes!
"Oh, shit.","oh, God."
"I sucks your . Toki, pulls yourself together!","Toki, pull yourself together!"
Just talk shit to him.,just talk to him.
"Hicks: What are you doing in my house, asshole?","what are you doing at my house, man?"
"""He was a blithering young idiot.""","""because it was a young gulp."""
"Why don't you look in the mirror before you leave the john, huh? I hate that shit.",why don't you look in the mirror before you come here?
"Hey, we have no time for this shit.","hey, we don't have time for this."
"You're so pretty, Faith. Shit!","you're so pretty, Faith."
Won the shit for us.,and he won it for us.
"I don't know what in the fuck Is happening to you, bill.","I don't know what's going on with you, Bill."
"Oh, shit. They told his parents to come.",they called his parents to come.
Shut up! Why can't you accept it?,why can't you accept that?
"Who the fuck do you think you are, making that shit up about me?","who do you think you are, making up your mind about me?"
"Why would you have me engage in such an obvious stupidity?""","then why would you want me to do such an obvious thing? """
Darn. A male.,he's a male.
"We're gonna bust this scumbag with God cop, bad cop.","we're gonna be a good cop, bad cop."
É toÉd a stupid Éie.,é é É ÉÉed ÉÉÉed ÉÉÉe.
Get on the goddamn bed!,I said on the bed!
What the fuck is this?,what are you doing here?
You know the fuck?,you know him?
"What the fuckare you doing, man?.","what are you doing, man?"
Damn it!,"oh, my God."
"""I did, but I got fired... For stupidity.""","""I tried, but they fired me... because of my dementia."""
They do shit like this all the time.,they do it all the time.
These damn farmers are all partisans anyway.,these farmers are all partisan anyway.
'Till some rapid god type shit happens and washes everything away in a tidal wave like those poor fuckers in Indonesia.,"until something sharp happens to him, and he doesn't flush out everything in a tidal wave, like the poor ones in Indonesia."
"Dude, this is fucked up.","this is messed up, man."
"Stupid. Buff, it's not your fault.","Buffy, it's not your fault."
Fucking dead people. - everything we've got on noonan's 1979 homicide conviction.,all we got on Noonan...... a murder certificate in 1979.
'Cause I want to look that bastard in the eye.,"all right, 'cause I want to look him in the eye."
like you can do whatever the fuck it is you want cos you went away that night and I didn't!,"you can't do what you like, just 'cause you got busted then, and I'm not!"
"You look at this shit: buildings down, people dead.","look at this: Barbecues ruined, people dead."
Call me a bitch again.,tell me again.
"No, I don't got nothing to do with this shit. Yo!",I have nothing to do with this.
None of you give a shit.,none of you care.
That's the danger; it's so big and powerful that it is likely to hurt people through clumsiness and stupidity.,this is a danger; it is so large and powerful that it will easily hurt people just by their awkwardness and limitations.
"Fuck, he's not dead!",he's not dead!
Fuck you both.,kiss me both.
Your left damnit.,your left hand.
Don't you close that goddamn...!,don't you dare close the door!
"She turned right instead of left, in the direction of her stupid hand, and walked down the hill.","she turned to right instead to the left, in the direction of her weaker hand, and went down the hill."
"""You believe that garbage?","""you believed them?"
"Whoa, Stache, are you fucking with us?","wait, Stachi, are you with us?"
"That's a $300 hat, bitch!",that's a $300 hat!
"And then I realized... how many stupid times a day I use the word ""l.""",and then I realized... how many times a day I think about myself.
I'll send you shit.,send it to me.
We got our shit on.,we're on our way.
"Shit, you know that guy?",you know this guy?
The crap I do for this family.,what I wouldn't do for my family.
So what do you want for Christmas? Fuck it.,what do you want for Christmas?
Use your fucking key!,use the keys!
Are you fucking crazy? No problem?,isn't that a problem?
You fly around the world with men who use you like a whore. - You're not my father!,you're flying around the world with guys taking advantage of you!
"You're not gonna shake my fucking hand, pal.","I won't give you my hand, my friend."
"But it is within your power to save many lives by facilitating the process of transition, by negotiating the terms of the surrender of Old Town. Son of a bitch!",but you have a chance to save many lives when you facilitate the conversion process by negotiating the terms of surrender...... of the Old Town.
What the fuck you say to my sister?,what did you say to my sister?
"Says, ""she loves me, bitch loves me not,"" cuts the sucker right off.","and she says, ""She likes me, she doesn't like me."""
Goddamn son of...,son of a...
What the fuck are you doing?,what are you doing here?
"What did you say, you idiot?!",what were you saying?
How the fuck do you know what it means to be a man?,and how do you know what it means to be a man?
"Fuck, this band is meant for world domination.",this band is dominated by the world.
"Shut up! Listen to me, please!","listen to me, please!"
You bastard! Now see what you've done!,now look what you've done!
"Man, you can't even put on your turn signal without busting your ass.","dude, you can't even go to your bike without having a coconut."
And I'm gonna kill you!,and I'm gonna do you!
"Bastard, you hear me?",can you hear me?
What is this green shit?,is that the green one?
"Man, you ain't getting on my leather seats with that ass.",I'm not letting you in on your leather seats.
"Good in bed, fucking asshole in the morning.","good in bed, but a really bad morning."
The goddamn Germans got nothin' to do with it!,the Germans have nothing to do with it!
"The first analysis of Lecter will be a publisher's wet dream. I'd give you full credit, of course. Damn it, man.","of course, the first real analysis of Lecter is the dream of every publisher. Of course, I would have recognised your merit."
"Don't tell me stupid things that you know I will never, never believe.","don't tell me what you know, you know, I never, ever believe."
What's wrong with that? -Shut up!,what's wrong with that?
The fuck you do! Gunnar is right.,Gunnar is absolutely right.
"Shut up. Hey, Charlie.","hey, Charlie."
You see what that shit does to you?,you see what this is doing to her?
"Family, man. Damn!","the family, man."
"My motherfucker's so cool when he goes to bed, sheep count him.","he's so calm when he goes to sleep, he makes his sheep."
"Don't worry, I won't tell them about all this shit.","and don't worry, I won't tell them about this."
Shut up Boo!,stop Boo!
Can kiss my ass.,kiss my...
There's no fuckin' way one guy did all this shit.,there's no way one man can do this.
Get your ass back.,get back here!
What the fuck is wrong with you guys?,what are you guys doing?
You know who the fuck I'm with?,do you know who I'm working for?
What the fuck is that?,what was that?
You didn't tell me this shit was about music.,you didn't tell me it's all about music.
"That shit was cold, man.","it was cold, man."
Thank you and fuck you.,thanks and kiss me.
Who the fuck are you?,"who are you, anyway?"
"And notice I charitably said girl and not person... ...because let's face it, I'd smoke all you bitches.","and you'll notice I've said mercy to the girl and not the person, because, let's face it, I'm gonna put all of you in your pocket."
Let's wake those losers up!,let's wake them up!
"Yeah, looks like he's been dead a couple days. Damn.","yeah, looks like he was dead for days."
So what the fuck are you talking about?,what are you talking about?
"Because I can do that, but I have a job to do now, and I'm trying to focus, and I'm not here to fill up your life with fucking stories for your fucking Twitter.","because I can do that, but now I have a job, and I'm trying to focus on it, and I'm not here to help you create a story that's going to take to Twitter."
"Damn, What do you say that, bucko?","what do you say, cowboy?"
"You know, you're not helping the cop stereotype with this donut crap.",you know you're not helping the cop stereotypes when you're stuffing doughnuts.
Eat your damn porridge.,eat your porridge.
"Bullshit, you can't force nature.",then you can't push nature.
Do you think my mother gives a shit ?,do you think my mother cares?
Chicks like that romantic crap.,"you know, women like this kind of romantic thing."
Turns out smoking meth while driving is a parole violation. God damn it.,it turns out smoking meth while driving is illegal.
"Come here, you big silly bear.","come here, my great little bear."
We are so screwed.,and we're lost.
"That's a bull's name, idiot!","it's a name for a cow, man!"
Fuck off !,get out!
She usually decides. - Shut up.,she usually decides.
You're not gonna take your men... ..around into the jungleto avoid a goddamn fight!,you will not lead your men into the jungle to avoid a fight!
I don't want to get involved. She is a whore.,I don't want to get involved.
Why are you giving me this shit?,why don't you care about me?
"I warned him, that's some sick shit.",I warned him it was strong.
He's a jerk. That's true too.,that's also true.
"This was stupid, and I really shouldn't have called.",I really shouldn't have called you.
"You know, all those shitty-ass farm girls, you know, they all look alike.","you know these village girls, they all look the same."
I can't believe this shit.,you can't believe it.
"Stupid new guy down at the station said,",one new mammoth at the station said:
What the fuck is going on?,what's going on here?
That's exactly the kind of pigheaded crap that will make Stalin think we are the next enemy.,that's what Stalin will have of us for the next enemies.
Shut off that damn noise!,turn off the noise!
Why are you always on the side of those fuckers?,why are you never on my side?
Are you fucking somebody else?,you bringingsomeone else?
"I told you to go before we started, you idiot.",I told you to go before takeoff.
"I know a whole lot of shit, Russia.","I know a lot of things, Russ."
"Go fucking back, then.",then come back.
Answer the goddamn phone.,pick up the phone.
"This shit... the violence, the beer, all of it...","the violence, the beer, everything."
Mr Fucking Happy!,the master is happy!
"Why don't you go get yourself a bloody husband, you old bat?",why don't you go find your husband instead?
What are they doing here? Sons of whores.,what are they doing here?
Because you lost your mother a few months ago and its normal to feel like shit.,"because your mother died a few months ago, I know how you feel."
"The lawyer you turned me onto... shit, I don't know what that motherfucker did, but whatever it was...","I don't know what that punk did, but whatever it was, it wasn't for him, I won't win the appeal."
You don't see Abbott and Costello running around talking about this shit do you?,"you don't see Abbott and Costello talking about it, do you?"
"Damn it, he knew he was right!",he knows he's right!
She's a liar.,she's lying.
"It's me, dork, your sister.","it's me, boy, your sister."
Your teacher's penis?,your teacher?
What the fuck was that?,what was that supposed to mean?
Check this shit out.,look at this.
Now you leave the bugger alone.,now you leave the boy alone!
And you're always on the stupid phone.,and you're still on the phone.
"This is very stupid, what we're doing.",that's what we're doing.
"Listen to me, you worthless piece of shit. Now, you will put Daley's man on the circuit, and you'll do it today.","listen to me, you'll put Dallas' man in there and that's what he's doing today."
"""You think he could have known about all this shit and not told you?""","""do you think he could tell anything about this whole thing and not tell you?"""
Gimme my fucking blow!,and give me my coke.
Is to sell off that piece of garbage and for her to get as little as possible.,you can sell the waste and give it... as much as possible.
What rubbish!,what a mess!
Watch your damn hands!,watch your hands!
I want money! - Scum!,I want the money!
She's an APD investigator. - Damn.,"she's not, she's an investigator."
I believe you're very good on the phone. Fuck.,I believe you're good on the phone.
"""Because Ronnie bought the cards, dumbwit.","""because Ronnie bought the cards, man."
"It is stupid, but for our child... - We'll do whatever it takes.",but for our baby-- - We'll do whatever it takes.
"Come back here, you foolish...","come back, you guy--"
Oh bullshit. I've heard that story a dozen times.,I've heard this tale a thousand times.
You think I'm going to pay you for this shit?!,you think I'm gonna pay for this?
She had golden hairs... teeth as white as pearls... and the asshole of a seven-year-old.,"her hair was gold, her teeth white like pearls, and trim as a seven-year-old."
And even worse... ...what the fuck are you kissing her good-bye for?,"what's worse, why do you kiss her goodbye?"
He's never been in the shit.,he was never in action.
I'll see you tomorrow. Fuck!,I'll see you tomorrow.
"You're so smart, right, Jack? You piece of shit!","you're so smart, aren't you, Jack?"
"The next day she messed up something stupid, and Dr. Kidd yelled at her.","the next day, she condone something trivial, and Dr. Kidd was screaming at her."
"Well, xandir, like the grateful dead, You've gotten us into yet another stupid jam.","Xandir, like the Grateful Dead, did it to us nicely."
God damn! You're a heavy sucker!,"oh my God, you're heavy!"
"You pay my tow, I'll pay your fine. Shit.","pay me a move, I'll pay you a ticket."
That was just a rumor that you and your stupid friends started!,it was just a rumor you made with your friends.
"Yeah, let me the fuck in the store.",let me go to the store.
I thought you hated that kind of shit.,I thought you hated these things.
I'm trapped in the stupid past.,I'm stuck in the past.
"Yo, watch that shit on my head.","hey, watch it, it's my head."
"Good afternoon, Mrs. Bullard. Idiot.","good afternoon, Mrs. Bullard."
Is that why you're up on those goddamn cans?,is that why you're standing on those tanks?
"""Let's get fucked up!""","""let's get a hand!"""
Fucking army?,in the military?
Fuck. Reggie Ledoux.,Reggie Ledoux.
Fuck! Come on!,come on!
Do whatever the fuck you have to.,do whatever you have to.
Fine! A rat bit her ass?,did the rat bite?
"Fuck, he's not dead!",he's not dead!
"Shut up, Oz.","all right, Oz."
"Look, Len, let's cut the shit.","look, Lenny, let's get to the point."
"You did that to him, damn you!",you did this to him!
"Yeah, because you dropped it when you broke into my house, you piece of shit.","yeah, 'cause you lost it when you broke into my apartment."
You guys move like fucking soldiers !,you're moving like soldiers!
Damn it!,"oh, my God."
Shut up.,quiet!
