toxic,nontoxic
Them young niggas don't know how to run shit.,the young don't know how this is going.
Bitch!I knew you wouldpull something like this.,I knew you'd pull something like that.
Fuck! Listen. We know Verneuil is in Davos.,"listen, we know Verneuil's in Davos."
You know what I told your ass about that shit!,you know what I told you about!
"Damon, I got something for you! - Where is this bitch?","Damon, I have something for you."
But she'd never been able to conceal irritation at stupidity.,"still, she could not hide her irritation."
"There are reporters and TV cameras outside, lots of them. Bullshit.","there's reporters and television cameras out there, there's plenty of them."
"People eat that shit up, Marty.","Marty, people eat this."
"Goddamn! Oh, fuck!","oh, my God."
Do you have any idea what People will pay... for a shot of a celebrity looking stupid while eating?,do you have any idea how many people pay for a photo of a celebrity who looks bad when she eats?
"Then call her, fool.",then call her.
"Vera, the man is a U.S. congressman. - The man is an idiot.","Vera, this guy is an American congressman."
I heard about that shit.,I've heard about that.
They never told my lawyer about this shit.,they didn't tell my lawyer.
Vesuvius offers advantage. Fucking coward!,Vesuvius offers an advantage.
"They hang people in this part of the world for this shit, Barry.","this is where they let people hang out, Barry."
The crane's not gonna help idiot!,the crane won't help!
Where the fuck you going?,where do you want to go?
"Hey, look what the fuck you did, man!",look what you've done!
"Good night, Manchester. Thanks for your bullshit.",good night and thanks for everything.
The fuck is this guy doing?,what is this guy doing?
It's my name on this story but it's your name on that damn door.,"my name's with the article, but your name's on the door."
Grab your shit.,get your things.
That's about the dumbest thing I ever heard.,it's the only thing I've ever heard.
Every station in town has people at the airport... and none has heard a whisper ofthis shit you're running!,"every station in the city has its people at the airport, and none of them have heard a word of it!"
I don't know what the fuck you people want and don't want.,I don't know what you want or don't want.
"You love this shit, don't you?","you're enjoying yourself, aren't you?"
"You're not feeling this fuckin' shit, man?","no, you don't feel it, man?"
You feel stupid?,you feel bad?
Now you're going back on your fucking word.,now you're taking your word.
Huh? You think you can do this shit?,do you think you can get away with this?
You think I like that stupid job? I hate it!,do you think I like the job?
"Family is important shit, man.",family is important.
"You don't believe all this crap, do you, Ash?","you don't believe that, will you, Ash?"
Eat my shit. I'm the next Supreme.,I'm the next Supreme.
"Shut up! - Come, come, come.","come, come, come!"
Idiot! Mum said he's our father.,mom said he was our father.
God damn!,"oh, my God."
Are you guys hearing this crap?,do you hear the oxen?
This shit is desperate!,this is desperate!
I cannot believe we fell for this shit again.,I can't believe you fell for it again.
"Hear what I said, asshole?",don't you hear what I'm saying?
What kind of stupid answer is that?,what kind of bad answer is that?
What about my damn service with a smile ?,what about my personal approach with a smile?
You want me to make that shit official?,you want it to be official?
You get attacked by a few fundamentalist fucking assholes and the federal money comes raining down like rose petals.,"a few of the fundamentalists thought, and the federal money went on like pink petals."
"Maybe if you'd told me your plan, I wouldn't have done it! lanto, don't be stupid!","maybe if you told me your plan, I wouldn't do it."
"Fuck me. You'll see, Murph.","you'll see, Murph."
"I hate to disagree with your ass, but I'm with your pa on that shit.","I hate to contradict you, but I agree with your dad."
They were so upset by it... ...they canceled their stupid trip to Steubenville tonight.,they were all so excited to cancel their trip to Stubenwil today.
You know what? A test would offer proof to that damn sister of mine.,the test would serve as evidence to my sister.
"I don't normally like to use profanity, but fuck you!","I don't usually use words like that, but..."
He can't whore-fuck no longer with impunity.,he can no longer struggle with impunity.
What the fuck? Are you talking to Taliban?,are you talking to the Taliban?
"Fuck, Barry.","Sarka, Barry!"
Let the scumbag pay me and I'll go now,let the Order pay and I will go.
"Let's do this!"" And your heart's going, ""bullshit.","let's do it! ""And your heart goes:"
Shit! Do you know who the fuck this is?,do you know who this is?
How could it happen like that stupid?,how could he have done such a thing?
"So you won't tell us, motherfucker?",so you won't tell us?
What the fuck is he thinking writing these letters?,"what was he thinking, writing the letters?"
We don't fight stupid guys like you.,we don't fight like that.
"And don't sigh that stupid sigh of yours and say, ""Life, you know what life is. ""","and don't wake up, as you usually sigh and say, ""Life, you know what life is like."""
What the fuck is taking you so long?,why does it take so long?
She's a mean old bitch. but she's yours.,"it's an old game, but it's yours."
"NaCl, you asshole!","NaCl, dude!"
"Where were you, you bastard?",where have you been?
What the fuck are you talking about?,what are you talking about?
Fuckin' do it. Stay off the fuckin' ropes.,and don't let go of the ropes.
"Oh, fuck off, it's a hidden camera show.","go somewhere, hidden camera show!"
"What the fuck, Merlotte?","what was it, Merlotte?"
What the fuck are you doing?!,what are you doing?
Our people taught them how this shit works.,we learned how this thing works.
By studying your shit?,by studying in college?
"'I just wanted you to sing to me!' Oh, fuck off!",I only wanted you to sing to me.
"Yes, I know, you idiot!","yeah, I know, hubby!"
"Jesus fucking Christ, Ray.","for Christ's sake, Ray!"
"What the fuck, Turtle?","what is it, Turtle?"
"Look at this shit, man !",just look at it!
We can compare this shit.,then we can compare it.
I don't believe this shit.,I don't believe it.
There's no customs stamp on this fucker.,there's no stamp duty on it.
"Talk to Gustafson, man! - Aw, shit.","talk to Gustafson, man!"
What the fuck are you waiting for?,what are you waiting for?
I don't like that shit.,I don't like it.
Wants Bullock to show his ass before he'il bless his fucking candidacy.,he wants Bullock to show himself...... before he's blessed with his candidacy?
Fucking Folken!,in Folken!
"Damn it, Jomar.","Jomar, man..."
"At least I know my Miranda Rights, you idiot!",at least I know the rights by heart.
"Well, you could keep your stupid gifts, because now I don't want them!","so you can have the gifts again, because I don't want them."
Jesus fucking...,"oh, my God."
Nothing about you is pathetic.,there's nothing wrong with you.
"Really, really... piece of shit ...I helped her out... good.","well, I just... I helped her... It was good."
And what's he done with Hoyt? Fuck you.,what did he do with Hoyt?
Who the fuck do you think you are?,when do you think you are?
"Sir, yes, sir. Bullshit.","Sir, yes, sir!"
"Fuck! ""It was a day my friend would never forget.""",it was a day my friend will never forget.
What if your heart keeps telling you to do the same stupid shit... Over and over again?,what if your heart tells you to do the same thing... over and over again?
What the fuck did you just say about the FBl?,what were you saying about the Fbl?
She's 16 and she's fucked up.,she's 16 years old.
Marjorie has got the United Episcopal Church eating out of her goddamn portfolio.,Marjorie is in charge of the entire Biscal Church of the United States.
"Then we'll see where your equipment is tomorrow, motherfucker!",you'll see where your apparatus is tomorrow.
"Millions, moron.",millions more.
"Fuck, yeah! Nice, Michael, nice.","nice, Michael, nice!"
Can't you figure out she planted this shit on me?,don't you get the idea she planned on me?
We can't let that bitch get away!,we must not let her escape!
"Fuck, there they are. - Were they there all the time?",they've been there all the time?
Wait until those guys hear about this shit.,wait till the guys know about this.
"Fuck, was that you?",is that you?
"fuck, you killed him! didn't you ask to fucking ""retire"" him?","you didn't ask to put him in a ""pension""?"
I'm not sure I'm cut out to be a private investigator. Bullshit. Bullshit.,I'm not supposed to be a private investigator.
Stupid idea.,bad idea.
I don't know what the fuck you're talking about.,I don't know what you're talking about.
Sometimes you can be such a bastard.,sometimes they can be really bad.
"Chatswin, bitches.","Chatswin, girls."
Should we run at it again? Shit.,can we do it again?
What is this shit?,what is this?
"What the fuck, Lee?","what was it, Lee?"
"Dude, you don't know how much I'm looking forward to this shit.",you don't know how much I look forward to it.
"Oh, shit! - of the Lord to lay Clayton Beresford to rest.","God, let Clayton Beresford rest in peace."
"It's not alcohol, idiot.","it's not booze, man."
Get him. Fuck him up.,give it to him!
You just come up with that shit or do you have cue cards written somewhere?,"did you just make that up right now, or do you have it written somewhere?"
If an old shit like you has any friends.',"if you have any friends at all. """
Fuck all of them!,all of them!
"You want your money, you show your fucking face!","if you want your money, show us!"
"""The garden Alice and I wandered through without smelling anything at all."" ""You're older now, idiot!""","""but when Alice and I went through the garden on Kobold, we didn't feel anything!"""
(SOFTLY) We're totally fucked.,(softly) We are totally exhausted.
This fucker's out of control.,it got out of control.
"It's his fucking surname, Tone.",it's his last name.
"You think you could run this shit better than me, huh?","you think you could do it better than I did, huh?"
"I'm not Rosie, idiot!",I'm not Rosie.
"Only downside is, the bank's being tightfisted in Phoenix... 'cause they made those stupid loans.","unfortunately, the bank in Phoenix shrinks... because of those botched loans."
Is that what that bitch your boss wants?,is that what your boss wants?
"You, my friend, suck.",you're a friend of yours.
He's a tough son of a bitch.,he's a tough guy.
"Do exactly as we say, and no one gets hurt. Holy shit.","do exactly as we say, and nobody gets hurt."
"It looks nice, but it's a piece of shit.","it looks nice, but it's an old store."
Did you motherfuckers see that?,did you guys see that?
"No more diapers, no more strained carrots, no more reading stupid Goodnight Moon!","no more carrots, no carrots, no reading ""Good night, moon""!"
I bet you it's that fuck Kearney.,I bet Kearney's in on it.
"Jimmy, do you still have all your stupid magic supplies?","Jimmy, you still got the magic set?"
"No, you weren't an idiot.","no, she wasn't."
Bullshit. You didn't watch Dawson's Creek.,you didn't watch Dawson's Bet.
Are you stupid? Didn't you hear what I said?,didn't you hear what I said?
Call it my own little idiot box.,let's call it my little picture box.
Classic hero worship shit.,the usual worship of a hero.
What the fuck are you talking about?,what are you talking about?
Never put off till tomorrow... what you can empty out tonight. Bitch.,"never leave for tomorrow, what you can empty tonight."
"Oh shit, that's not your car.",it's not your car.
"""Shut up!""","""that's enough!"""
What the fuck are you doing?,what are you doing?
"Tommi, you stupid... Yes, yes...","Tommi... yeah, yeah..."
That's how that shit works...,that's how it works.
What the fuck are you doing?,what are you doing?
"Wait up, I can't even see. Shut the fuck up!","wait, I don't see anything."
"Fuck, it's true.","oh, my God, it's true!"
Jesus. Damn it.,"oh, my God."
Not today. It's Christmas. - Idiot...,not today. It's Christmas.
Leave the damn box.,leave the box!
Bitch tell you what to do?,does he tell you what to do?
"Stay there, dammit!",stay there.
"What the fuck? - Here, your wheel.",here's your steering wheel.
Go fuck.,"go, go, go!"
Y'all love that shit.,you all love it.
Do you know who Stella Dallas is? Fuck you.,do you know who Stella Dallas is?
Bunch of morons. I have to do everything myself!,I have to do everything myself!
"Come on, man. Fuck!","come on, man!"
You fucked me!,you stood me up!
I knew that guy was full of shit.,I knew the guy was talking!
You owe your goddamn job to this administration.,you owe your job to the government
"It's one stupid dinner, and he's really cute. I promise. And he's smart.","one dinner is really nice, I promise, and smart."
Then she remembered Motherfucker.,then she remembered Mamrda.
"What are you doing, you fool?","what are you doing, man?"
What is this shit? Everyone's looking for us today.,we're all looking for us today.
Let's do this shit.,let's do it.
Shut up! Come on!,"oh, come on!"
We'll never get rid of that garbage!,we'll never get rid of it.
We're waiting for you. - ## - Shit!,we're waiting for you.
Jesus fucking Christ.,for Christ's sake!
"Damn you, Victor Cachat.","he took you, Victor Cachat."
Open up and tell me shit.,open up and talk.
The stupid one about the king?,the thing about the king?
"Oh, fuck, Tara.","Tara, you don't..."
"Fuckin' hell, mate.","dude, dude."
"I hope you're ready for this shit. - Ha, ha.",I hope you're ready for this.
What the fuck are you doing in here?,what are you doing here?
How much you pay for fucking?,how much will you give me?
"Ryan's an ass, Sam. Maybe, but does that mean he doesn't have the right to live?","maybe, but does it mean he's not entitled to life?"
Fuck me. They got lucky.,they were lucky.
What's wrong with that fool?,what's wrong with this guy?
Tony fucked up.,Tony touched it.
All she did was reject your sorry ass.,all she did was reject your apology.
She needs to sign the damn thing.,he needs to sign it!
"Sign the damn contract, please.",please sign the contract.
I wouldn't let those assholes check them in!,I couldn't get them to check in with these guys.
What- what now? - Fuck!,what is it now?
"""Let it go,"" my ass!","""let it go,"" that's right!"
And Slick is the biggest jerk-off.,and Klouzek is the biggest one.
Two damn decorations!,two decorations!
"Flare gun? I don't know nothing about no stinking flare gun. - Oh, shit!",I don't know anything about a deadly flare.
"Turn around, fool.",turn around.
How can I ask such stupid questions!,how can I ask such questions?
At least there's one idiot less then.,at least there would be one thing less.
Fools. We are not mercenaries.,we're not mercenaries.
"I call them ""sucking a dick.""","I call them ""the pills."""
"Ugh, fine, then I'll send money for a stupid train ticket.","fine, I'll send you money for the train ticket."
Two francs! shit!,two francs!
"Lauderdale, bitch!",Lauderdale!
What's the matter with that jerk?,what's wrong with this guy?
You built for this shit?,you're built for that?
"Damn it, Chuck. What are you waiting for?",what are you waiting for?
"At night, you sleep your ordinary sleep filled with peaceful, stupid dreams.","at night, it's more of a normal sleep-filled dream."
"And that shit with Junior, please.","and with Junior, please..."
It's good to see you. - Bullshit.,it's good to see you.
"V, don't start that shit!","in, don't start with that!"
Where's that medic? - Fuck.,where's the doctor?
"We speak English, asshole.",we speak English.
"Where's all your shit, man?","where's your stuff, huh?"
I love that shit.,I like him.
Jack Dunphy's full of shit. - Ha.,Jack Dunphy's talking!
You can't possibly believe that shit!,you don't believe that!
Shut up! Shut up!,"quiet, quiet."
You could've just told him to fuck off.,you should have told him to pull up.
This shit is straight off the damn boat.,the stuff goes right off the ship.
God Damn!,"oh, God."
I've got too many days to do it and not enough time Fucking shit.,"I've got plenty of days for that, but not enough time."
"Last week, your piece of shit Dodge intrepid broke down on the I-10 freeway.","last week, your Dodge Intrepid store broke down on the I-10."
Jesus. Shit!,"oh, my God."
Can you read that shit?,will you read this?
Why don't you ask the goddamn FBl?,then why don't you ask them?
Who the shit is Kingsley Zissou?,Pele... and who's SakraKingsley Zissou?
That shit is too easy!,it's really easy!
He's Andre's. Fuck Andre!,"no, he's Andre's."
"If you had gone to one stupid movie with her instead of ignoring her,","if you were going to the movie theater with her instead of ignoring her,"
"Not like my sister, president of the ""my shit doesn't stink society.""",my sister is the president of the Progression Society.
"Well, that's just stupid, isn't it?","that's too bad, isn't it?"
You know what the fuck I'm talking about!,you know what I'm talking about!
Oh. I don't think I've ever seen a more beautiful piece of shit.,I don't think he's ever seen anything more beautiful.
"No, no black market shit, just regular market shit. What?","no, not in the black market, this is a regular market."
"And it was quiet, you know, but it was loud enough so she can hear that shit.","it was quiet, but this was loud enough to hear it."
Where's your fucking boyfriend?,where's your friend?
My father. Now you? What the fuck is happening?,"my dad, now you, what's going on?"
Have you seen those two idiots?,you see the two over there?
I wasted a whole year of my time with this bullshit.,I've spent a whole year of my life thinking about these things.
Fuck. Take the wheel.,take the wheel!
CAPITALIST PIGS!,capitalist Practices!
There's Your fucking pal.,there's your new friend.
Why're they waving five fingers at us? Stupid!,hello. Why are they all showing us 5 fingers?
You can fuck your show.,you can have an exhibit.
"Jesus Christ, Charlie, you give me this whole song and dance about how you're out of that shit, but you're not.","oh, my God, Charlie, you've been saying that you're out of everything, but you're not."
Stupid! What are you doing here?,what are you doing here?
What the fuck?!,what's going on?
Give me the shit.,give it to me.
Bastard... Why do that?,why would he do that?
"Shit, Morpheus, you should have seen him.",you should have seen him.
What the fuck are you still doing here?,what are you still doing here?
I don't like this little shit.,I don't like this.
The losers are the best.,they're the best.
Fuckin' sick Japanese tradition or some shit?,is that some kind of Japanese tradition?
What the fuck you looking at?,what are you looking at me for?
All because of a stupid hat?,just because of the hat?
He sat on the shit for a year and a half.,and he kept it for a year and a half.
I don't know why I ever listen to that jerk.,I don't know why I keep listening.
What the fuck you're doing here?,what are you doing here?
How can you bet on stupid Horst?,how can you bet on Horst?
At least the same fucked up.,at least the same.
What the fuck happened to you?,what happened to you?
"Oh shit, my boss.",he's my boss.
"Kate, bitch! Kate!","Kate, of course."
That's the shit they wrote on your housel,that's what they wrote on your house.
"Excuse me, but fuck you, Derek.","I'm sorry, but wake up, Derek."
Kruppe sits at a table of fools.',Kruppe sits at the table.'
I'm offering you this shit because you're my partner!,I'm offering it to you because you're a buddy!
What's the fuck's the matter with you guys?,what's the matter with you guys?
Fuck. Everyone knows that.,everybody knows that.
"Hey, fuckhead, I'm watching your sister's kid play soccer.",I'm just looking at your sister's kid playing football.
I can't have that shit.,I can't let that happen.
She did this shit!,she's the one who did this!
Nobody wants to take this shit.,no one wants it that way.
"What do you think about that, headfuck?","what do you think about that, mind?"
I knew I couldn't trust that fuck!,I knew I shouldn't have trusted him.
These people are nuts.,these people are great.
And people gotta see this shit.,people just have to see it.
"They could back the dumb ones, not the well-informed... not those who understand that people know what's going on.","they could build on what they don't know, not the people who know, and people know their own."
Mickey whatever-the-fuck-his name was.,Mickey's name was called.
"Oh, shit!",oh my God!
"Denzel Washington saved J. Roberts twice, cleared her name and didn't get any pussy from that bitch!","Denzel washington twice saved Julia, cleared her name, and she didn't give it to him!"
"Ming Ling, shit.",Ming Ling!
How could we have been that stupid?,how could we be so blunt?
And he is losing time for this shit.,and he's wasting his time because of this volley.
"What did you do, Barney? Fuck.",what did Barney do?
What the fuck are you talking about?,what are you talking about?
"Whatthe fuck, Buffalo Bill?","what's going on, Buffalo Bill?"
What If they wanted you here? - Bullshit.,what if they wanted you here?
"It'd be better if you hadn't been released from jail. Shut up, you bitch.",it would be better if they didn't release you from prison.
"The devastating impact of the duo can also be seen with their hit song... ...""Shut Your Fucking Face,Uncle Fucker.""","the influence of this Canadian duo is evident in their new song, ""Hold your hold, Uncle Domende."""
We're not going back! Shut up!,we're not going back.
I fuck with everybody.,I'd do it with everyone.
Son of a bitch. I know what the house looks like.,I know what this house looks like!
"Uh, I mean dumb-ass.","I mean, I mean..."
And their useless attitude.,and their attitude to nothing.
What in the patron saint of shit happened?,what happened to all the saints here?
"Lori, goddamn it, what are you doing?","Lori, what are you doing?"
It's just a bullshit word.,it's just an anticlimactic word.
"The book, motherfucker.",from the book.
Remember who you have to thank for this. Jerk!,remember who you can thank for this.
I can't count on you for shit.,I can't count on you.
"Walter, you fuck, we gotta go to Pasadena, man.","Walter, man, we have to go to Passerena."
What a loser.,what they lost.
"Give me your shoes, bitch!",give me your shoes!
"What seized fucking brain, releasing your swords in the arena?","what was the idea, putting off your sword in the arena?"
"God damn, man!","oh, my God."
27 years without this shit!,27 years without a single one!
Mr. Fucking Africa?,a kindly Mr. Africa?
"With over $1 million in cash and jewels tucked in a bank in Vegas, only for Ginger, she was secure and happy, she loved that shit.",a million dollars in cash and jewels deposited in Vegas in a bank... made Ginger happy and secure.
For a stupid musket?,for those excavations?
"You're lucky you're over there, asshole.",you're lucky to be there!
"She's just gotta sign the paperwork. Oh, fuck.",he just needs to sign the paper.
I forgot about that fucking barista.,I forgot about my colleague.
Bullshit! Can you believe how unprofessional some people are?,see how unprofessional some people are?
Certainly I know what the moron said to his wife.,of course I know what he told her.
"I thought, ""My God, what a bunch of losers.""","I thought, ""My God, what kind of brakes is this."""
"Clayton, are you starting shit again?","Clayton, are you starting again?"
"Gwen, please. Shit.","Gwen, please."
I dont think I'vve ever seena more beautiful piece of shit.,I don't think he's ever seen anything more beautiful.
"The old man gave the amulet to you, but not your idiot friend.","the old man gave the amulet to you, not the one."
See if the imbecile is ready.,go see if he's ready.
We're not selling this shit.,we don't sell it all.
"The stupid fuck you are, you really believed she was your kid.",did you really believe it was your baby?
What the fuck are you talkin' about?,what are you talking about?
What the fuck are you looking at?,what are you looking at?
"Yeah, check that shit.","yeah, check it out!"
"Then what the fuck is it, uri?","then what is it, Juri?"
Look at this shit.,look at this.
Watch me play with this fool.,watch me play with him.
That thing is just a stupid kid's game.,it's just a game anyway.
Oh shit!,"oh, no!"
We can't keep this shit here.,we can't leave it here.
"I better read that shit, too.",I'll read it too.
Gonna have to eat this shit every day?,is that what we're gonna have to eat every day?
"Idiots. A couple of years ago,","a couple of years ago,"
The second step is make him read a verse that unlocks your heart. Fuck.,"second, make him read a verse that unlocks your heart."
Idiot! She was forced to deal with them to save you!,she was compelled to cooperate only to save you!
Shut up.,quiet.
"Fuck! Shit, - Dennis, in my desk I have contacts for lawyers and judges,","in my office, Dennis, I have addresses...... lawyers and judges."
"Sick fuck, huh?","that's messed up, huh?"
Shit -- Ronnie!,Ronnie! Ronnie! Ronnie!
Thank you and fuck you.,thank you and take a break.
Fuck. For the advice.,for guidance.
D'ya really think anyone will fall for somethin' that stupid?,you think anyone's gonna fall for that?
What the fuck did you do?!,what have you done?
"""God damn you, Colonel!""","""oh, my God, Colonel!"""
Damn. You're no fun.,that's not funny.
Can I get an advance on that shit?,can I get an advance?
"That's a paradise compared to this, asshole.",it's a paradise compared to this place.
I hate your ass too.,I love you too.
This shit folk songs have fed you for years.,these songs have fed your mom for years.
Of shit! I hope you know that!,I hope you realize that.
Oh bullshit! They ain't going' nowhere.,they're not going anywhere.
I read about this shit when I was in the pen.,I read about it when I was sitting.
A moron... ...full of sound and fury... ...signifying... ...nothing.,a lot of noise...... and no meaning...... no.
"Yes, I saw him. - Fuck up.","you're right, I've seen him."
Fucked things!,it's messed up!
Fuck me.,give it to me.
And you put your sister and the boys in this shit?,that's how you get your sister and kids in?
Frederica Diaz told me he was a massive fuck.,Frederic Diaz said she was impressive.
"Yo, what the fuck did you just say?","hey, what did you just say?"
"What the fuck, Hector?","what is this, Hector?"
"Fuck, that's fantastic!",this is fantastic!
Damn Caribbean.,across the Caribbean.
We left Ron and Christina. So stupid.,we left Ron and Christina.
Every night with these old fucks is like 1952 and shit.,"every night with these guys, it's all about 1952 and everything."
Idiots these days How can you leave like that?,how can you leave like this?
He knows his shit.,he knows his wares.
Wihat the shit are you talking about?,what are you talking about?
It is not what you think. Bullshit!,it's not what you think.
I can't believe this shit worked.,I can't believe it worked.
Did you see that shit?!,did you see that?
Who the fuck is the other man?,who's the other one?
This damn Beretta again.,it's the Beretta again.
"He doesn't simply reproduce reality, like an ordinary idiot artist.",he doesn't simply produce reality as an ordinary patter.
"I haven't put my finger on that shit yet, but there's something about you, man.","I'm still not up to it, but there's something about you."
"This lying little twit, or the man who raised you?","this one, or the man who raised you?"
Look at those bastards waiting for us!,"look at them, they're waiting for us."
Have we surrendered captain? - Shut up!,"have we surrendered, Captain?"
"Just fuck off, John!","just go, John!"
"If he's so full of shit, where's his wire?","when he's talking, where's the wire?"
Same old shit.,same old.
Whoa. The fuck you all doin' in my truck?,what are you doing in my car?
"Only downside is, the bank's being tightfisted in Phoenix 'cause they made those stupid loans.","unfortunately, the bank in Phoenix shrinks for those botched loans."
"You wanna tell the Turk you're not happy, be my guest. Bullshit.","if you're not happy with your share, you tell Turk."
Put that fucking stuff down!,you have to put those things down right now!
Who the fuck are you?,"who are you, anyway?"
"Oh, fuck!","oh, right!"
Believe that shit?,can you believe it?
"Can you believe these fools, Donny?","can you believe it, Donny?"
"Well, won't she miss it? Fuck!",won't she be missed?
What the fuck you're doing?,what are you doing?
Look at this shit now.,now look at what's here.
Fucking work coat!,my work jacket!
Paki cunt!,Paki kundo!
It's just the sort of idiocy a Warden would come up with.,that's exactly the kind of thing a Guardian can come up with.
They're your type of bitches.,they're exactly your type.
"If it didn't happen, it can't happen. –Open the damn door!","if this hasn't happened, it just can't happen."
"Fuck me, man!","look, man!"
"If Ho gives the Police that tape... ...it won't just be your head, bastard!",if Ho gives the tape to the police...... it's not just you!
"Stupid door. okay, that was Pep, Ail, Lala, Papi, Jr. wait a minute.","okay, he was Pep, Ail, Lala, Papi, Jr. wait."
I've never seen that kind of shit.,I've never seen this.
What happened to that two hour shit?,what happened to our two hours?
You got my money? You leave that shit in the mailbox on you ass way out. You feel me?,"you have my money, and you'll leave them in the mailbox when you're on your way out, you got that?"
"Oh, shit, Mike, you promised me.",you know what you promised me.
And I didn't get them by listening to bullshit.,and I didn't get them for listening to a tie.
Fucking Becky? No.,"Becky, dude?"
Please leave your name... - Dammit.,please leave your name and number with a short message.
You know that poor son of a bitch that fell out of the airplane?,you remember the poor guy who dropped out of the plane?
What shit?,what's the deal?
Fuck!,go!
They're not dangerous. You're being an idiot.,they're not dangerous to me.
Didn't you know how much I wanted to succeed in rock?? You bastard!!,didn't you know how much I wanted to succeed in rock?
"Fuck you, Alec Laszlo.","you go somewhere, Alec Laszlo."
The shit hurt.,it hurts so much.
"Dammit, you're making a mistake!",you're making a mistake.
It's his damned house.,this is his house.
Aah! Shit!,Jimmy!
"He's got some stupid new hidden camera show called ""Gotcha.""","he's got a new show with a hidden camera, ""Got you."""
"Jesus, Stanley,what the fuck did you do thatfor?","Jesus, why did you do that, Stanley?"
"You have no worries, that's why it's easy for you to spout fucking nonsense about morality.","you don't have to worry about anything, so... it's easy to write about morality."
You think you got control of that shit.,you think you have everything under control.
And she's still with that asshole LeBlanc.,and she's still with that defied LeBlanc.
She was so in love with him she didn't even run. Stupid little twit.,so she loved him that she didn't even run.
Fucking move!,come on!
It's stupid. It's time to move on.,it's time to move on.
I told you about this American shit...,I used to talk about this kind of American stuff.
What the fuck is wrong with you?,what's the matter with you?
"Fuck, you want to get married... now?",'you want to get married now? '
No one else listens to that crap!,no one's listening anymore!
Ugh! Why did I tell our stupid parents that we're married?,why did I just tell my parents we got married?
"See, that's that crossover shit... every five minutes on the radio, Today Show, Grammy shit.","the crossing... every five minutes on the radio, the Today Show, the Grammys."
What the fuck is the matter with you?,what's the matter with you?
Give me money! Shut up!,give me the money!
"You watch the goddamn line, McClung.","you watch the line, McClung."
How dumb do these morons have to be to think they're gonna get a plane?,do they really think they're going to get a plane?
I told him to set the alarm for eight! Fuck it!,he should have set the alarm clock on eight.
God damn it!,"oh, my God."
You know how tired of this shit I am?,do you know how I feel about this?
For more than a year on this stupid island.,it's crazy to think we can survive on this island for more than a year.
He ain't built for this shit!,he's not up to it!
You guys movelike fucking soldiers!,you're moving like soldiers!
"Do you really believe that shit, there's a sweet flower inside every kid?",do you really believe there's a tender flower in every schoolboy?
"Who would know that better than you, huh, scumbag?","you know better than that, don't you?"
Where's my stupid phone?,where's my phone?
Those idiots aren't worth it.,this is not worth it.
Crap hotel.,hotel on the piste.
That shit is like truth serum.,it's like a truth serum.
"What the fuck, dude?","what's up, man?"
You don't know shit!,you don't know.
Fucking Christ.,"oh, my God."
"Done here, at our romantic fairytale getaway where you make up for all the idiot Archer shit you pulled over the past 24 hours?","I mean, when we end up with our romantic trip to make up for the last 24 hours?"
"Oh no, fuck!","oh, no!"
Shoot. I almost lost my job over that shit.,I almost lost my job because of it.
Fucking Sherwood Forest!,Sherwood Forest.
That shit about your father...,what happened to your dad?
"Come on, you're the one who talked me into joining the stupid mathletes.","come on, you were the one who persuaded me to join the maths."
"That shit's not funny, Sam.",that's not very funny.
Fuck you lose $ 35.,you lost 35.
Why doesn't anybody want this shit?,why doesn't anyone want that?
Who the fuck is playing us man?,who's playing with us?
"You bastards, we've been planning this for months.",we've been planning her for months!
If my abuelita saw this shit...,if my grandmother had seen this...
"You want the real shit, right?","you want real goods, right?"
G...! What the fuck?,what is this?
"No, came down here to have breakfast with you duper-faced fucks.","no, I'm going to have breakfast with you guys."
Let that shit go.,let it go.
"Sir, I think we deserve to know... - Dammit!","Sir, I think we deserve to know..."
She's pathetic.,she's unhappy.
Why can't I say ''Fuck it'' with her?,why can't I end up with this?
The fuck you care?,what do you care?
"Fuck! Oh, my God!","oh, my God!"
"Bullshit, Katie.","kegs, Katie."
I don't know how I ever let him suck me into those stupid games.,I don't even know how he talked me into these games.
You can't do shit on your own.,you can't do it yourself.
Look at that shit.,look at this.
He wants free love. You pig!,it requires free love.
Fuckin' A. He planted the flag.,he posted a banner.
"Yeah, fuck you too.",I love you too.
They don't listen to that shit up in new york.,"in New York, they don't listen."
"It's Ryan, the bastard! And McKintyre's with him.","that was Ryan again, and McKintyre is with him."
"Last year, she tried to get arbor day off, And I told her to blow a goddamn tree and get her ass in here.","last year, she wanted to go to tree day, and I told her to call off the tree and go to work."
"Roger Burke, you ugly fuck! What are you doing in London?","Roger Burke, where'd you get in London?"
Fuck off. Is this a joke?,"you're kidding, right?"
Me on a planet where they don't even know who should squat in front of whom? Bullshit.,me and living on a planet where nobody knows who to squat before?
Two hours of that shit.,two hours of terror.
Fuck! --and that she was impressed.,and that's what impressed her.
"It was a bitch, but so worth it.","it was hard, but it was worth it."
Dammit.,"oh, gosh."
"That's why I stayed in Poland, even when I found out that he was a... donkey-fucking prick.","that's why I stayed in Poland, even when I found out what it was like."
You fucked my wife?,and my wife?
"Walter, You fuck, We gotta go To pasadena, Man.","Walter, man, we have to go to Passerena."
I told you to get the buses. Fuck you!,I ordered you to take the buses.
You let me in. Shut up.,you let me in.
"Drink up, bitch.","drink up, hold up."
Fuck you think you at?,what do you think?
